"Date,""Open"",""High"",""Low"",""Close"",""Result ‌CCI‌ (20)"""
"Tue Jan 12 2021 12:30:00 GMT+0530 (India Standard Time),""14520.00"",""14540.35"",""14514.10"",""14537.70"",""212.11"""
"Tue Jan 12 2021 12:45:00 GMT+0530 (India Standard Time),""14537.90"",""14542.05"",""14525.15"",""14527.55"",""179.74"""
"Tue Jan 12 2021 13:00:00 GMT+0530 (India Standard Time),""14527.40"",""14550.55"",""14527.40"",""14548.00"",""184.45"""
"Tue Jan 12 2021 13:15:00 GMT+0530 (India Standard Time),""14547.95"",""14562.65"",""14544.35"",""14550.10"",""178.83"""
"Tue Jan 12 2021 13:30:00 GMT+0530 (India Standard Time),""14550.65"",""14578.85"",""14550.20"",""14577.30"",""184.30"""
"Tue Jan 12 2021 13:45:00 GMT+0530 (India Standard Time),""14578.25"",""14580.65"",""14544.45"",""14565.65"",""141.54"""
"Tue Jan 12 2021 14:00:00 GMT+0530 (India Standard Time),""14565.40"",""14574.95"",""14557.50"",""14570.10"",""129.22"""
"Tue Jan 12 2021 14:15:00 GMT+0530 (India Standard Time),""14569.90"",""14580.40"",""14561.00"",""14576.70"",""122.71"""
"Tue Jan 12 2021 14:30:00 GMT+0530 (India Standard Time),""14577.30"",""14589.90"",""14562.25"",""14581.00"",""116.32"""
"Tue Jan 12 2021 14:45:00 GMT+0530 (India Standard Time),""14580.85"",""14585.65"",""14556.80"",""14561.10"",""86.86"""
"Tue Jan 12 2021 15:00:00 GMT+0530 (India Standard Time),""14560.90"",""14574.00"",""14560.90"",""14569.60"",""80.11"""
"Tue Jan 12 2021 15:15:00 GMT+0530 (India Standard Time),""14569.90"",""14575.65"",""14554.45"",""14574.75"",""73.84"""
"Wed Jan 13 2021 09:15:00 GMT+0530 (India Standard Time),""14639.80"",""14643.30"",""14619.70"",""14631.15"",""182.21"""
"Wed Jan 13 2021 09:30:00 GMT+0530 (India Standard Time),""14630.50"",""14652.70"",""14622.10"",""14645.40"",""178.86"""
"Wed Jan 13 2021 09:45:00 GMT+0530 (India Standard Time),""14645.25"",""14650.10"",""14625.80"",""14627.10"",""153.31"""
"Wed Jan 13 2021 10:00:00 GMT+0530 (India Standard Time),""14628.50"",""14638.95"",""14620.45"",""14623.40"",""129.60"""
"Wed Jan 13 2021 10:15:00 GMT+0530 (India Standard Time),""14622.25"",""14636.05"",""14606.50"",""14624.70"",""110.28"""
"Wed Jan 13 2021 10:30:00 GMT+0530 (India Standard Time),""14625.00"",""14626.00"",""14586.20"",""14602.35"",""63.50"""
"Wed Jan 13 2021 10:45:00 GMT+0530 (India Standard Time),""14602.60"",""14620.60"",""14601.15"",""14605.20"",""62.46"""
"Wed Jan 13 2021 11:00:00 GMT+0530 (India Standard Time),""14604.90"",""14613.70"",""14598.25"",""14601.95"",""45.23"""
"Wed Jan 13 2021 11:15:00 GMT+0530 (India Standard Time),""14601.60"",""14603.45"",""14564.85"",""14574.20"",""-14.16"""
"Wed Jan 13 2021 11:30:00 GMT+0530 (India Standard Time),""14574.15"",""14579.60"",""14546.45"",""14556.70"",""-67.92"""
"Wed Jan 13 2021 11:45:00 GMT+0530 (India Standard Time),""14556.95"",""14577.85"",""14543.95"",""14548.55"",""-81.83"""
"Wed Jan 13 2021 12:00:00 GMT+0530 (India Standard Time),""14548.45"",""14560.50"",""14526.75"",""14560.20"",""-100.33"""
"Wed Jan 13 2021 12:15:00 GMT+0530 (India Standard Time),""14559.85"",""14577.45"",""14552.30"",""14558.55"",""-64.55"""
"Wed Jan 13 2021 12:30:00 GMT+0530 (India Standard Time),""14557.50"",""14570.65"",""14552.95"",""14561.70"",""-66.64"""
"Wed Jan 13 2021 12:45:00 GMT+0530 (India Standard Time),""14562.55"",""14589.40"",""14561.30"",""14566.95"",""-40.63"""
"Wed Jan 13 2021 13:00:00 GMT+0530 (India Standard Time),""14567.05"",""14573.60"",""14537.50"",""14545.60"",""-86.54"""
"Wed Jan 13 2021 13:15:00 GMT+0530 (India Standard Time),""14546.25"",""14557.90"",""14534.00"",""14549.90"",""-90.89"""
"Wed Jan 13 2021 13:30:00 GMT+0530 (India Standard Time),""14550.10"",""14563.95"",""14496.55"",""14519.00"",""-127.23"""
"Wed Jan 13 2021 13:45:00 GMT+0530 (India Standard Time),""14517.70"",""14520.25"",""14475.30"",""14477.15"",""-178.69"""
"Wed Jan 13 2021 14:00:00 GMT+0530 (India Standard Time),""14478.30"",""14507.40"",""14436.65"",""14499.30"",""-169.58"""
"Wed Jan 13 2021 14:15:00 GMT+0530 (India Standard Time),""14500.00"",""14538.00"",""14484.45"",""14536.60"",""-92.68"""
"Wed Jan 13 2021 14:30:00 GMT+0530 (India Standard Time),""14536.55"",""14545.05"",""14513.35"",""14523.00"",""-73.67"""
"Wed Jan 13 2021 14:45:00 GMT+0530 (India Standard Time),""14522.65"",""14566.70"",""14517.15"",""14552.40"",""-32.20"""
"Wed Jan 13 2021 15:00:00 GMT+0530 (India Standard Time),""14552.40"",""14579.65"",""14552.40"",""14575.80"",""29.00"""
"Wed Jan 13 2021 15:15:00 GMT+0530 (India Standard Time),""14575.45"",""14578.00"",""14540.20"",""14558.30"",""12.81"""
