"Date,""Open"",""High"",""Low"",""Close"",""Result ‌CCI‌ (20)"""
"Thu Jan 07 2021 11:15:00 GMT+0530 (India Standard Time),""15511.10"",""15522.35"",""15504.55"",""15515.15"",""94.43"""
"Thu Jan 07 2021 11:30:00 GMT+0530 (India Standard Time),""15515.30"",""15516.90"",""15486.15"",""15490.50"",""68.08"""
"Thu Jan 07 2021 11:45:00 GMT+0530 (India Standard Time),""15491.05"",""15501.40"",""15481.30"",""15485.15"",""53.37"""
"Thu Jan 07 2021 12:00:00 GMT+0530 (India Standard Time),""15485.45"",""15503.80"",""15482.80"",""15497.30"",""54.29"""
"Thu Jan 07 2021 12:15:00 GMT+0530 (India Standard Time),""15496.15"",""15502.55"",""15483.95"",""15491.55"",""48.03"""
"Thu Jan 07 2021 12:30:00 GMT+0530 (India Standard Time),""15492.55"",""15527.20"",""15491.05"",""15525.30"",""69.50"""
"Thu Jan 07 2021 12:45:00 GMT+0530 (India Standard Time),""15525.15"",""15527.45"",""15512.95"",""15523.70"",""78.26"""
"Thu Jan 07 2021 13:00:00 GMT+0530 (India Standard Time),""15524.40"",""15540.40"",""15500.25"",""15534.95"",""87.97"""
"Thu Jan 07 2021 13:15:00 GMT+0530 (India Standard Time),""15533.95"",""15535.65"",""15513.10"",""15529.40"",""96.55"""
"Thu Jan 07 2021 13:30:00 GMT+0530 (India Standard Time),""15529.60"",""15531.90"",""15463.35"",""15488.05"",""13.05"""
"Thu Jan 07 2021 13:45:00 GMT+0530 (India Standard Time),""15488.45"",""15513.35"",""15487.65"",""15509.80"",""34.44"""
"Thu Jan 07 2021 14:00:00 GMT+0530 (India Standard Time),""15510.20"",""15511.30"",""15481.65"",""15505.45"",""-11.74"""
"Thu Jan 07 2021 14:15:00 GMT+0530 (India Standard Time),""15506.90"",""15510.20"",""15484.35"",""15504.75"",""-9.79"""
"Thu Jan 07 2021 14:30:00 GMT+0530 (India Standard Time),""15504.65"",""15515.30"",""15485.30"",""15493.85"",""-21.11"""
"Thu Jan 07 2021 14:45:00 GMT+0530 (India Standard Time),""15496.00"",""15496.00"",""15469.80"",""15475.30"",""-123.00"""
"Thu Jan 07 2021 15:00:00 GMT+0530 (India Standard Time),""15473.40"",""15475.25"",""15413.05"",""15421.75"",""-315.15"""
"Thu Jan 07 2021 15:15:00 GMT+0530 (India Standard Time),""15423.55"",""15427.15"",""15401.30"",""15419.90"",""-306.49"""
"Fri Jan 08 2021 09:15:00 GMT+0530 (India Standard Time),""15557.10"",""15557.10"",""15453.65"",""15464.45"",""-14.77"""
"Fri Jan 08 2021 09:30:00 GMT+0530 (India Standard Time),""15465.50"",""15478.20"",""15431.25"",""15445.75"",""-143.42"""
"Fri Jan 08 2021 09:45:00 GMT+0530 (India Standard Time),""15445.90"",""15474.70"",""15442.90"",""15467.80"",""-92.41"""
"Fri Jan 08 2021 10:00:00 GMT+0530 (India Standard Time),""15469.35"",""15481.60"",""15457.90"",""15477.95"",""-50.23"""
"Fri Jan 08 2021 10:15:00 GMT+0530 (India Standard Time),""15477.55"",""15506.90"",""15477.15"",""15493.55"",""14.01"""
"Fri Jan 08 2021 10:30:00 GMT+0530 (India Standard Time),""15493.40"",""15515.45"",""15490.80"",""15504.30"",""45.75"""
"Fri Jan 08 2021 10:45:00 GMT+0530 (India Standard Time),""15504.20"",""15504.50"",""15461.45"",""15463.20"",""-35.00"""
"Fri Jan 08 2021 11:00:00 GMT+0530 (India Standard Time),""15462.80"",""15486.10"",""15459.65"",""15480.00"",""-34.89"""
