"Date,""Open"",""High"",""Low"",""Close"",""Result ‌CCI‌ (20)"""
"Thu Jun 20 2024 14:15:00 GMT+0530 (India Standard Time),""23010.30"",""23045.25"",""23002.35"",""23030.70"",""95.06"""
"Thu Jun 20 2024 14:30:00 GMT+0530 (India Standard Time),""23029.60"",""23032.45"",""22996.90"",""23026.05"",""77.21"""
"Thu Jun 20 2024 14:45:00 GMT+0530 (India Standard Time),""23025.70"",""23029.05"",""22972.25"",""22991.15"",""42.30"""
"Thu Jun 20 2024 15:00:00 GMT+0530 (India Standard Time),""22991.30"",""23045.50"",""22985.65"",""23035.20"",""78.86"""
"Thu Jun 20 2024 15:15:00 GMT+0530 (India Standard Time),""23034.95"",""23053.50"",""23026.80"",""23028.70"",""102.72"""
"Fri Jun 21 2024 09:15:00 GMT+0530 (India Standard Time),""23110.25"",""23110.40"",""22991.85"",""23010.00"",""99.68"""
"Fri Jun 21 2024 09:30:00 GMT+0530 (India Standard Time),""23009.45"",""23041.55"",""22938.55"",""22948.55"",""-56.61"""
"Fri Jun 21 2024 09:45:00 GMT+0530 (India Standard Time),""22947.05"",""22973.80"",""22919.50"",""22965.20"",""-123.25"""
"Fri Jun 21 2024 10:00:00 GMT+0530 (India Standard Time),""22965.25"",""22991.30"",""22920.55"",""22922.35"",""-146.44"""
"Fri Jun 21 2024 10:15:00 GMT+0530 (India Standard Time),""22922.30"",""22943.60"",""22917.35"",""22940.95"",""-158.73"""
"Fri Jun 21 2024 10:30:00 GMT+0530 (India Standard Time),""22942.05"",""22943.30"",""22881.35"",""22895.00"",""-185.85"""
"Fri Jun 21 2024 10:45:00 GMT+0530 (India Standard Time),""22895.05"",""22898.50"",""22841.50"",""22889.20"",""-200.49"""
"Fri Jun 21 2024 11:00:00 GMT+0530 (India Standard Time),""22890.15"",""22900.50"",""22859.55"",""22872.35"",""-162.30"""
"Fri Jun 21 2024 11:15:00 GMT+0530 (India Standard Time),""22873.75"",""22886.15"",""22854.05"",""22869.90"",""-148.24"""
"Fri Jun 21 2024 11:30:00 GMT+0530 (India Standard Time),""22871.45"",""22916.25"",""22848.35"",""22900.60"",""-105.83"""
"Fri Jun 21 2024 11:45:00 GMT+0530 (India Standard Time),""22901.90"",""22904.60"",""22876.00"",""22890.40"",""-90.78"""
"Fri Jun 21 2024 12:00:00 GMT+0530 (India Standard Time),""22892.00"",""22908.30"",""22876.80"",""22904.15"",""-75.24"""
"Fri Jun 21 2024 12:15:00 GMT+0530 (India Standard Time),""22904.30"",""22935.05"",""22894.35"",""22908.25"",""-50.68"""
"Fri Jun 21 2024 12:30:00 GMT+0530 (India Standard Time),""22908.10"",""22915.25"",""22857.85"",""22868.35"",""-82.05"""
"Fri Jun 21 2024 12:45:00 GMT+0530 (India Standard Time),""22870.10"",""22903.00"",""22854.45"",""22887.95"",""-73.47"""
"Fri Jun 21 2024 13:00:00 GMT+0530 (India Standard Time),""22889.10"",""22889.95"",""22814.20"",""22839.10"",""-106.85"""
"Fri Jun 21 2024 13:15:00 GMT+0530 (India Standard Time),""22839.55"",""22881.60"",""22824.90"",""22867.15"",""-87.54"""
"Fri Jun 21 2024 13:30:00 GMT+0530 (India Standard Time),""22866.70"",""22900.10"",""22862.95"",""22886.10"",""-50.14"""
"Fri Jun 21 2024 13:45:00 GMT+0530 (India Standard Time),""22886.65"",""22989.30"",""22882.85"",""22961.15"",""46.82"""
"Fri Jun 21 2024 14:00:00 GMT+0530 (India Standard Time),""22963.50"",""23033.70"",""22945.25"",""22995.65"",""133.85"""
"Fri Jun 21 2024 14:15:00 GMT+0530 (India Standard Time),""22995.40"",""23005.05"",""22847.20"",""22875.70"",""6.75"""
"Fri Jun 21 2024 14:30:00 GMT+0530 (India Standard Time),""22876.50"",""22929.30"",""22844.40"",""22919.85"",""-10.39"""
"Fri Jun 21 2024 14:45:00 GMT+0530 (India Standard Time),""22917.45"",""22997.10"",""22917.45"",""22965.95"",""135.81"""
"Fri Jun 21 2024 15:00:00 GMT+0530 (India Standard Time),""22966.15"",""23054.50"",""22957.80"",""22974.85"",""192.75"""
"Fri Jun 21 2024 15:15:00 GMT+0530 (India Standard Time),""22974.75"",""22988.95"",""22929.35"",""22945.30"",""99.06"""
"Mon Jun 24 2024 09:15:00 GMT+0530 (India Standard Time),""22833.80"",""22915.10"",""22824.05"",""22880.85"",""-61.61"""
"Mon Jun 24 2024 09:30:00 GMT+0530 (India Standard Time),""22881.25"",""22881.25"",""22811.05"",""22837.85"",""-113.70"""
"Mon Jun 24 2024 09:45:00 GMT+0530 (India Standard Time),""22837.60"",""22873.95"",""22826.85"",""22859.60"",""-89.95"""
"Mon Jun 24 2024 10:00:00 GMT+0530 (India Standard Time),""22859.65"",""22917.25"",""22838.60"",""22901.45"",""-31.57"""
"Mon Jun 24 2024 10:15:00 GMT+0530 (India Standard Time),""22902.80"",""22923.20"",""22871.15"",""22904.85"",""-6.22"""
"Mon Jun 24 2024 10:30:00 GMT+0530 (India Standard Time),""22904.85"",""22952.10"",""22903.25"",""22949.25"",""54.71"""
"Mon Jun 24 2024 10:45:00 GMT+0530 (India Standard Time),""22949.00"",""22972.90"",""22926.80"",""22938.55"",""67.36"""
"Mon Jun 24 2024 11:00:00 GMT+0530 (India Standard Time),""22936.60"",""23012.80"",""22936.60"",""22974.25"",""102.29"""
"Mon Jun 24 2024 11:15:00 GMT+0530 (India Standard Time),""22974.10"",""23050.65"",""22970.30"",""23026.50"",""142.50"""
"Mon Jun 24 2024 11:30:00 GMT+0530 (India Standard Time),""23028.50"",""23041.60"",""22973.55"",""22981.30"",""104.20"""
"Mon Jun 24 2024 11:45:00 GMT+0530 (India Standard Time),""22980.85"",""23027.70"",""22966.30"",""23020.75"",""102.82"""
"Mon Jun 24 2024 12:00:00 GMT+0530 (India Standard Time),""23021.20"",""23030.05"",""23010.30"",""23021.50"",""114.28"""
"Mon Jun 24 2024 12:15:00 GMT+0530 (India Standard Time),""23022.05"",""23046.75"",""23014.75"",""23039.15"",""120.07"""
"Mon Jun 24 2024 12:30:00 GMT+0530 (India Standard Time),""23036.80"",""23056.75"",""23006.15"",""23012.05"",""95.88"""
